service,provider,quarter,complaints_per_100k,year,q,t,is_industry_avg
Landline,EE,2017 Q2,10.0,2017,2,8069,False
Landline,EE,2017 Q3,7.0,2017,3,8070,False
Landline,EE,2017 Q4,7.0,2017,4,8071,False
Landline,EE,2018 Q1,9.0,2018,1,8072,False
Landline,EE,2018 Q2,5.0,2018,2,8073,False
Landline,EE,2018 Q3,6.0,2018,3,8074,False
Landline,EE,2018 Q4,5.0,2018,4,8075,False
Landline,EE,2019 Q1,4.0,2019,1,8076,False
Landline,EE,2019 Q2,4.0,2019,2,8077,False
Landline,EE,2019 Q3,4.0,2019,3,8078,False
Landline,EE,2019 Q4,5.0,2019,4,8079,False
Landline,EE,2020 Q1,2.0,2020,1,8080,False
Landline,EE,2020 Q2,2.0,2020,2,8081,False
Landline,EE,2020 Q3,5.0,2020,3,8082,False
Landline,EE,2020 Q4,3.0,2020,4,8083,False
Landline,EE,2021 Q1,5.0,2021,1,8084,False
Landline,EE,2021 Q2,2.0,2021,2,8085,False
Landline,EE,2021 Q3,3.0,2021,3,8086,False
Landline,EE,2021 Q4,3.0,2021,4,8087,False
Landline,EE,2022 Q1,1.0,2022,1,8088,False
Landline,EE,2022 Q2,3.0,2022,2,8089,False
Landline,EE,2022 Q3,3.0,2022,3,8090,False
Landline,EE,2022 Q4,3.0,2022,4,8091,False
Landline,EE,2023 Q1,5.0,2023,1,8092,False
Landline,EE,2023 Q2,6.0,2023,2,8093,False
Landline,EE,2023 Q3,5.0,2023,3,8094,False
Landline,EE,2023 Q4,3.0,2023,4,8095,False
Landline,EE,2024 Q1,11.0,2024,1,8096,False
Landline,EE,2024 Q2,15.0,2024,2,8097,False
Landline,EE,2024 Q3,8.0,2024,3,8098,False
Landline,EE,2024 Q4,8.0,2024,4,8099,False
Landline,EE,2025 Q1,8.0,2025,1,8100,False
Landline,EE,2025 Q2,8.0,2025,2,8101,False
Landline,EE,2025 Q3,6.0,2025,3,8102,False
Landline,EE,2025 Q4,6.0,2025,4,8103,False
Landline,NOW Broadband,2022 Q1,5.0,2022,1,8088,False
Landline,NOW Broadband,2022 Q2,8.0,2022,2,8089,False
Landline,NOW Broadband,2022 Q3,5.0,2022,3,8090,False
Landline,NOW Broadband,2022 Q4,5.0,2022,4,8091,False
Landline,NOW Broadband,2023 Q1,6.0,2023,1,8092,False
Landline,NOW Broadband,2023 Q2,7.0,2023,2,8093,False
Landline,NOW Broadband,2023 Q3,11.0,2023,3,8094,False
Landline,NOW Broadband,2023 Q4,10.0,2023,4,8095,False
Landline,NOW Broadband,2024 Q1,12.0,2024,1,8096,False
Landline,NOW Broadband,2024 Q2,10.0,2024,2,8097,False
Landline,NOW Broadband,2024 Q3,7.0,2024,3,8098,False
Landline,NOW Broadband,2024 Q4,9.0,2024,4,8099,False
Landline,NOW Broadband,2025 Q1,4.0,2025,1,8100,False
Landline,NOW Broadband,2025 Q2,4.0,2025,2,8101,False
Landline,NOW Broadband,2025 Q3,5.0,2025,3,8102,False
Landline,NOW Broadband,2025 Q4,6.0,2025,4,8103,False
Landline,Plusnet,2014 Q2,22.0,2014,2,8057,False
Landline,Plusnet,2014 Q3,25.0,2014,3,8058,False
Landline,Plusnet,2014 Q4,25.0,2014,4,8059,False
Landline,Plusnet,2015 Q1,20.0,2015,1,8060,False
Landline,Plusnet,2015 Q2,20.0,2015,2,8061,False
Landline,Plusnet,2015 Q3,33.0,2015,3,8062,False
Landline,Plusnet,2015 Q4,25.0,2015,4,8063,False
Landline,Plusnet,2016 Q1,21.0,2016,1,8064,False
Landline,Plusnet,2016 Q2,18.0,2016,2,8065,False
Landline,Plusnet,2016 Q3,25.0,2016,3,8066,False
Landline,Plusnet,2016 Q4,24.0,2016,4,8067,False
Landline,Plusnet,2017 Q1,21.0,2017,1,8068,False
Landline,Plusnet,2017 Q2,14.0,2017,2,8069,False
Landline,Plusnet,2017 Q3,21.0,2017,3,8070,False
Landline,Plusnet,2017 Q4,21.0,2017,4,8071,False
Landline,Plusnet,2018 Q1,15.0,2018,1,8072,False
Landline,Plusnet,2018 Q2,11.0,2018,2,8073,False
Landline,Plusnet,2018 Q3,17.0,2018,3,8074,False
Landline,Plusnet,2018 Q4,33.0,2018,4,8075,False
Landline,Plusnet,2019 Q1,24.0,2019,1,8076,False
Landline,Plusnet,2019 Q2,20.0,2019,2,8077,False
Landline,Plusnet,2019 Q3,17.0,2019,3,8078,False
Landline,Plusnet,2019 Q4,17.0,2019,4,8079,False
Landline,Plusnet,2020 Q1,14.0,2020,1,8080,False
Landline,Plusnet,2020 Q2,8.0,2020,2,8081,False
Landline,Plusnet,2020 Q3,14.0,2020,3,8082,False
Landline,Plusnet,2020 Q4,13.0,2020,4,8083,False
Landline,Plusnet,2021 Q1,12.0,2021,1,8084,False
Landline,Plusnet,2021 Q2,8.0,2021,2,8085,False
Landline,Plusnet,2021 Q3,8.0,2021,3,8086,False
Landline,Plusnet,2021 Q4,6.0,2021,4,8087,False
Landline,Plusnet,2022 Q1,6.0,2022,1,8088,False
Landline,Plusnet,2022 Q2,8.0,2022,2,8089,False
Landline,Plusnet,2022 Q3,8.0,2022,3,8090,False
Landline,Plusnet,2022 Q4,7.0,2022,4,8091,False
Landline,Plusnet,2023 Q1,7.0,2023,1,8092,False
Landline,Plusnet,2023 Q2,7.0,2023,2,8093,False
Landline,Plusnet,2023 Q3,7.0,2023,3,8094,False
Landline,Plusnet,2023 Q4,6.0,2023,4,8095,False
Landline,Plusnet,2024 Q1,5.0,2024,1,8096,False
Landline,Plusnet,2024 Q2,5.0,2024,2,8097,False
Landline,Plusnet,2024 Q3,6.0,2024,3,8098,False
Landline,Plusnet,2024 Q4,4.0,2024,4,8099,False
Landline,Plusnet,2025 Q1,3.0,2025,1,8100,False
Landline,Plusnet,2025 Q2,3.0,2025,2,8101,False
Landline,Plusnet,2025 Q3,5.0,2025,3,8102,False
Landline,Plusnet,2025 Q4,5.0,2025,4,8103,False
Landline,Post Office HomePhone,2014 Q2,21.0,2014,2,8057,False
Landline,Post Office HomePhone,2014 Q3,14.0,2014,3,8058,False
Landline,Post Office HomePhone,2014 Q4,23.0,2014,4,8059,False
Landline,Post Office HomePhone,2015 Q1,13.0,2015,1,8060,False
Landline,Post Office HomePhone,2015 Q2,18.0,2015,2,8061,False
Landline,Post Office HomePhone,2015 Q3,19.0,2015,3,8062,False
Landline,Post Office HomePhone,2015 Q4,20.0,2015,4,8063,False
Landline,Post Office HomePhone,2016 Q1,29.0,2016,1,8064,False
Landline,Post Office HomePhone,2016 Q2,17.0,2016,2,8065,False
Landline,Post Office HomePhone,2016 Q3,20.0,2016,3,8066,False
Landline,Post Office HomePhone,2016 Q4,23.0,2016,4,8067,False
Landline,Post Office HomePhone,2017 Q1,21.0,2017,1,8068,False
Landline,Post Office HomePhone,2017 Q2,17.0,2017,2,8069,False
Landline,Post Office HomePhone,2017 Q3,24.0,2017,3,8070,False
Landline,Post Office HomePhone,2017 Q4,21.0,2017,4,8071,False
Landline,Post Office HomePhone,2018 Q1,12.0,2018,1,8072,False
Landline,Post Office HomePhone,2018 Q2,16.0,2018,2,8073,False
Landline,Post Office HomePhone,2018 Q3,9.0,2018,3,8074,False
Landline,Post Office HomePhone,2018 Q4,9.0,2018,4,8075,False
Landline,Post Office HomePhone,2019 Q1,8.0,2019,1,8076,False
Landline,Post Office HomePhone,2019 Q2,6.0,2019,2,8077,False
Landline,Post Office HomePhone,2019 Q3,9.0,2019,3,8078,False
Landline,Post Office HomePhone,2019 Q4,11.0,2019,4,8079,False
Landline,Post Office HomePhone,2020 Q1,9.0,2020,1,8080,False
Landline,Post Office HomePhone,2020 Q2,8.0,2020,2,8081,False
Landline,Post Office HomePhone,2020 Q3,9.0,2020,3,8082,False
Landline,Post Office HomePhone,2020 Q4,15.0,2020,4,8083,False
Landline,Shell Energy,2021 Q2,10.0,2021,2,8085,False
Landline,Shell Energy,2021 Q3,9.0,2021,3,8086,False
Landline,Shell Energy,2021 Q4,9.0,2021,4,8087,False
Landline,Shell Energy,2022 Q1,20.0,2022,1,8088,False
Landline,Shell Energy,2022 Q2,23.0,2022,2,8089,False
Landline,Shell Energy,2022 Q3,20.0,2022,3,8090,False
Landline,Shell Energy,2022 Q4,25.0,2022,4,8091,False
Landline,Shell Energy,2023 Q1,10.0,2023,1,8092,False
Landline,Shell Energy,2023 Q2,10.0,2023,2,8093,False
Landline,Shell Energy,2023 Q3,8.0,2023,3,8094,False
Landline,Shell Energy,2023 Q4,12.0,2023,4,8095,False
Landline,Shell Energy,2024 Q1,4.0,2024,1,8096,False
Landline,Sky,2010 Q4,41.0,2010,4,8043,False
Landline,Sky,2011 Q1,26.0,2011,1,8044,False
Landline,Sky,2011 Q2,24.0,2011,2,8045,False
Landline,Sky,2011 Q3,28.0,2011,3,8046,False
Landline,Sky,2011 Q4,22.0,2011,4,8047,False
Landline,Sky,2012 Q1,19.0,2012,1,8048,False
Landline,Sky,2012 Q2,14.0,2012,2,8049,False
Landline,Sky,2012 Q3,12.0,2012,3,8050,False
Landline,Sky,2012 Q4,13.0,2012,4,8051,False
Landline,Sky,2013 Q1,12.0,2013,1,8052,False
Landline,Sky,2013 Q2,12.0,2013,2,8053,False
Landline,Sky,2013 Q3,11.0,2013,3,8054,False
Landline,Sky,2013 Q4,9.0,2013,4,8055,False
Landline,Sky,2014 Q1,10.0,2014,1,8056,False
Landline,Sky,2014 Q2,8.0,2014,2,8057,False
Landline,Sky,2014 Q3,6.0,2014,3,8058,False
Landline,Sky,2014 Q4,7.0,2014,4,8059,False
Landline,Sky,2015 Q1,5.0,2015,1,8060,False
Landline,Sky,2015 Q2,6.0,2015,2,8061,False
Landline,Sky,2015 Q3,7.0,2015,3,8062,False
Landline,Sky,2015 Q4,7.0,2015,4,8063,False
Landline,Sky,2016 Q1,6.0,2016,1,8064,False
Landline,Sky,2016 Q2,5.0,2016,2,8065,False
Landline,Sky,2016 Q3,6.0,2016,3,8066,False
Landline,Sky,2016 Q4,7.0,2016,4,8067,False
Landline,Sky,2017 Q1,8.0,2017,1,8068,False
Landline,Sky,2017 Q2,6.0,2017,2,8069,False
Landline,Sky,2017 Q3,6.0,2017,3,8070,False
Landline,Sky,2017 Q4,6.0,2017,4,8071,False
Landline,Sky,2018 Q1,5.0,2018,1,8072,False
Landline,Sky,2018 Q2,4.0,2018,2,8073,False
Landline,Sky,2018 Q3,5.0,2018,3,8074,False
Landline,Sky,2018 Q4,4.0,2018,4,8075,False
Landline,Sky,2019 Q1,5.0,2019,1,8076,False
Landline,Sky,2019 Q2,5.0,2019,2,8077,False
Landline,Sky,2019 Q3,5.0,2019,3,8078,False
Landline,Sky,2019 Q4,4.0,2019,4,8079,False
Landline,Sky,2020 Q1,5.0,2020,1,8080,False
Landline,Sky,2020 Q2,3.0,2020,2,8081,False
Landline,Sky,2020 Q3,4.0,2020,3,8082,False
Landline,Sky,2020 Q4,4.0,2020,4,8083,False
Landline,Sky,2021 Q1,5.0,2021,1,8084,False
Landline,Sky,2021 Q2,3.0,2021,2,8085,False
Landline,Sky,2021 Q3,3.0,2021,3,8086,False
Landline,Sky,2021 Q4,2.0,2021,4,8087,False
Landline,Sky,2022 Q1,2.0,2022,1,8088,False
Landline,Sky,2022 Q2,2.0,2022,2,8089,False
Landline,Sky,2022 Q3,3.0,2022,3,8090,False
Landline,Sky,2022 Q4,2.0,2022,4,8091,False
Landline,Sky,2023 Q1,3.0,2023,1,8092,False
Landline,Sky,2023 Q2,2.0,2023,2,8093,False
Landline,Sky,2023 Q3,2.0,2023,3,8094,False
Landline,Sky,2023 Q4,2.0,2023,4,8095,False
Landline,Sky,2024 Q1,2.0,2024,1,8096,False
Landline,Sky,2024 Q2,2.0,2024,2,8097,False
Landline,Sky,2024 Q3,2.0,2024,3,8098,False
Landline,Sky,2024 Q4,2.0,2024,4,8099,False
Landline,Sky,2025 Q1,2.0,2025,1,8100,False
Landline,Sky,2025 Q2,2.0,2025,2,8101,False
Landline,Sky,2025 Q3,2.0,2025,3,8102,False
Landline,Sky,2025 Q4,2.0,2025,4,8103,False
Landline,TalkTalk Group,2010 Q4,141.0,2010,4,8043,False
Landline,TalkTalk Group,2011 Q1,119.0,2011,1,8044,False
Landline,TalkTalk Group,2011 Q2,88.0,2011,2,8045,False
Landline,TalkTalk Group,2011 Q3,82.0,2011,3,8046,False
Landline,TalkTalk Group,2011 Q4,81.0,2011,4,8047,False
Landline,TalkTalk Group,2012 Q1,77.0,2012,1,8048,False
Landline,TalkTalk Group,2012 Q2,56.0,2012,2,8049,False
Landline,TalkTalk Group,2012 Q3,41.0,2012,3,8050,False
Landline,TalkTalk Group,2012 Q4,38.0,2012,4,8051,False
Landline,TalkTalk Group,2013 Q1,40.0,2013,1,8052,False
Landline,TalkTalk Group,2013 Q2,33.0,2013,2,8053,False
Landline,TalkTalk Group,2013 Q3,31.0,2013,3,8054,False
Landline,TalkTalk Group,2013 Q4,26.0,2013,4,8055,False
Landline,TalkTalk Group,2014 Q1,28.0,2014,1,8056,False
Landline,TalkTalk Group,2014 Q2,22.0,2014,2,8057,False
Landline,TalkTalk Group,2014 Q3,23.0,2014,3,8058,False
Landline,TalkTalk Group,2014 Q4,24.0,2014,4,8059,False
Landline,TalkTalk Group,2015 Q1,23.0,2015,1,8060,False
Landline,TalkTalk Group,2015 Q2,28.0,2015,2,8061,False
Landline,TalkTalk Group,2015 Q3,28.0,2015,3,8062,False
Landline,TalkTalk Group,2015 Q4,30.0,2015,4,8063,False
Landline,TalkTalk Group,2016 Q1,28.0,2016,1,8064,False
Landline,TalkTalk Group,2016 Q2,18.0,2016,2,8065,False
Landline,TalkTalk Group,2016 Q3,16.0,2016,3,8066,False
Landline,TalkTalk Group,2016 Q4,24.0,2016,4,8067,False
Landline,TalkTalk Group,2017 Q1,22.0,2017,1,8068,False
Landline,TalkTalk Group,2017 Q2,17.0,2017,2,8069,False
Landline,TalkTalk Group,2017 Q3,21.0,2017,3,8070,False
Landline,TalkTalk Group,2017 Q4,23.0,2017,4,8071,False
Landline,TalkTalk Group,2018 Q1,20.0,2018,1,8072,False
Landline,TalkTalk Group,2018 Q2,17.0,2018,2,8073,False
Landline,TalkTalk Group,2018 Q3,18.0,2018,3,8074,False
Landline,TalkTalk Group,2018 Q4,16.0,2018,4,8075,False
Landline,TalkTalk Group,2019 Q1,19.0,2019,1,8076,False
Landline,TalkTalk Group,2019 Q2,18.0,2019,2,8077,False
Landline,TalkTalk Group,2019 Q3,17.0,2019,3,8078,False
Landline,TalkTalk Group,2019 Q4,15.0,2019,4,8079,False
Landline,TalkTalk Group,2020 Q1,17.0,2020,1,8080,False
Landline,TalkTalk Group,2020 Q2,17.0,2020,2,8081,False
Landline,TalkTalk Group,2020 Q3,12.0,2020,3,8082,False
Landline,TalkTalk Group,2020 Q4,14.0,2020,4,8083,False
Landline,TalkTalk Group,2021 Q1,17.0,2021,1,8084,False
Landline,TalkTalk Group,2021 Q2,13.0,2021,2,8085,False
Landline,TalkTalk Group,2021 Q3,11.0,2021,3,8086,False
Landline,TalkTalk Group,2021 Q4,10.0,2021,4,8087,False
Landline,TalkTalk Group,2022 Q1,10.0,2022,1,8088,False
Landline,TalkTalk Group,2022 Q2,11.0,2022,2,8089,False
Landline,TalkTalk Group,2022 Q3,11.0,2022,3,8090,False
Landline,TalkTalk Group,2022 Q4,11.0,2022,4,8091,False
Landline,TalkTalk Group,2023 Q1,13.0,2023,1,8092,False
Landline,TalkTalk Group,2023 Q2,10.0,2023,2,8093,False
Landline,TalkTalk Group,2023 Q3,10.0,2023,3,8094,False
Landline,TalkTalk Group,2023 Q4,8.0,2023,4,8095,False
Landline,TalkTalk Group,2024 Q1,8.0,2024,1,8096,False
Landline,TalkTalk Group,2024 Q2,5.0,2024,2,8097,False
Landline,TalkTalk Group,2024 Q3,8.0,2024,3,8098,False
Landline,TalkTalk Group,2024 Q4,7.0,2024,4,8099,False
Landline,TalkTalk Group,2025 Q1,8.0,2025,1,8100,False
Landline,TalkTalk Group,2025 Q2,6.0,2025,2,8101,False
Landline,TalkTalk Group,2025 Q3,6.0,2025,3,8102,False
Landline,TalkTalk Group,2025 Q4,5.0,2025,4,8103,False
Landline,Utility Warehouse,2024 Q1,1.0,2024,1,8096,False
Landline,Utility Warehouse,2024 Q2,0.0,2024,2,8097,False
Landline,Utility Warehouse,2024 Q3,1.0,2024,3,8098,False
Landline,Utility Warehouse,2024 Q4,1.0,2024,4,8099,False
Landline,Utility Warehouse,2025 Q1,1.0,2025,1,8100,False
Landline,Utility Warehouse,2025 Q2,0.0,2025,2,8101,False
Landline,Utility Warehouse,2025 Q3,1.0,2025,3,8102,False
Landline,Utility Warehouse,2025 Q4,1.0,2025,4,8103,False
Landline,Virgin Media,2010 Q4,15.0,2010,4,8043,False
Landline,Virgin Media,2011 Q1,15.0,2011,1,8044,False
Landline,Virgin Media,2011 Q2,15.0,2011,2,8045,False
Landline,Virgin Media,2011 Q3,19.0,2011,3,8046,False
Landline,Virgin Media,2011 Q4,17.0,2011,4,8047,False
Landline,Virgin Media,2012 Q1,16.0,2012,1,8048,False
Landline,Virgin Media,2012 Q2,14.0,2012,2,8049,False
Landline,Virgin Media,2012 Q3,12.0,2012,3,8050,False
Landline,Virgin Media,2012 Q4,11.0,2012,4,8051,False
Landline,Virgin Media,2013 Q1,10.0,2013,1,8052,False
Landline,Virgin Media,2013 Q2,6.0,2013,2,8053,False
Landline,Virgin Media,2013 Q3,8.0,2013,3,8054,False
Landline,Virgin Media,2013 Q4,6.0,2013,4,8055,False
Landline,Virgin Media,2014 Q1,7.0,2014,1,8056,False
Landline,Virgin Media,2014 Q2,6.0,2014,2,8057,False
Landline,Virgin Media,2014 Q3,6.0,2014,3,8058,False
Landline,Virgin Media,2014 Q4,6.0,2014,4,8059,False
Landline,Virgin Media,2015 Q1,7.0,2015,1,8060,False
Landline,Virgin Media,2015 Q2,7.0,2015,2,8061,False
Landline,Virgin Media,2015 Q3,6.0,2015,3,8062,False
Landline,Virgin Media,2015 Q4,5.0,2015,4,8063,False
Landline,Virgin Media,2016 Q1,6.0,2016,1,8064,False
Landline,Virgin Media,2016 Q2,6.0,2016,2,8065,False
Landline,Virgin Media,2016 Q3,10.0,2016,3,8066,False
