supplier,quarter,star_rating,call_wait_s,email_resp_pct,complaints_per_10k,q,year,t
So Energy,Q3 2023,1.73,252.0,36.34,103.4,3,2023,8094
Utilita,Q3 2023,1.56,376.0,88.08,147.3,3,2023,8094
Utility Warehouse,Q3 2023,2.19,263.0,92.81,59.0,3,2023,8094
Boost Power,Q4 2023,2.19,,,,4,2023,8095
British Gas,Q4 2023,1.84,329.0,67.9,97.1,4,2023,8095
Co-op Energy,Q4 2023,2.19,317.0,67.8,36.1,4,2023,8095
E (Gas and Electricity),Q4 2023,3.07,37.0,100.0,105.9,4,2023,8095
E.ON Next,Q4 2023,3.29,87.0,77.7,52.6,4,2023,8095
EDF Energy,Q4 2023,2.39,242.0,91.9,60.1,4,2023,8095
Ecotricity,Q4 2023,2.87,110.0,94.2,30.7,4,2023,8095
Good Energy,Q4 2023,2.87,157.0,82.2,31.1,4,2023,8095
Octopus Energy,Q4 2023,2.52,289.0,67.3,36.1,4,2023,8095
Outfox Energy,Q4 2023,3.31,290.0,99.3,25.7,4,2023,8095
Ovo Energy,Q4 2023,2.72,147.0,81.7,121.8,4,2023,8095
Scottish Power,Q4 2023,2.94,111.0,98.0,94.8,4,2023,8095
Shell Energy,Q4 2023,3.75,,,,4,2023,8095
So Energy,Q4 2023,1.4,473.0,25.7,109.6,4,2023,8095
Utilita,Q4 2023,1.75,369.0,95.0,174.6,4,2023,8095
Utility Warehouse,Q4 2023,3.09,138.0,96.3,54.8,4,2023,8095
Boost Power,Q1 2024,2.52,,,,1,2024,8096
British Gas,Q1 2024,2.39,207.0,87.8,109.4,1,2024,8096
Co-op Energy,Q1 2024,2.52,228.0,72.0,33.7,1,2024,8096
E (Gas and Electricity),Q1 2024,3.07,38.0,100.0,92.6,1,2024,8096
E.ON Next,Q1 2024,2.96,119.0,68.4,48.6,1,2024,8096
EDF Energy,Q1 2024,2.06,301.0,83.4,64.6,1,2024,8096
Ecotricity,Q1 2024,3.77,37.0,97.0,26.6,1,2024,8096
Good Energy,Q1 2024,2.87,119.0,90.2,33.5,1,2024,8096
Octopus Energy,Q1 2024,2.52,211.0,70.3,33.7,1,2024,8096
Outfox Energy,Q1 2024,3.31,208.0,99.6,21.3,1,2024,8096
Ovo Energy,Q1 2024,3.27,64.0,95.9,109.2,1,2024,8096
Rebel Energy,Q1 2024,2.55,,,,1,2024,8096
Scottish Power,Q1 2024,2.94,107.0,96.8,83.7,1,2024,8096
So Energy,Q1 2024,2.5,91.0,77.4,116.2,1,2024,8096
Utilita,Q1 2024,2.08,298.0,98.0,150.4,1,2024,8096
Utility Warehouse,Q1 2024,3.09,115.0,96.4,47.9,1,2024,8096
British Gas,Q2 2024,2.94,102.0,96.4,96.0,2,2024,8097
Co-op Energy,Q2 2024,3.07,156.0,81.4,31.1,2,2024,8097
E (Gas and Electricity),Q2 2024,3.42,34.0,100.0,53.8,2,2024,8097
E.ON Next,Q2 2024,3.07,122.0,83.4,42.7,2,2024,8097
EDF Energy,Q2 2024,2.41,363.0,85.0,46.7,2,2024,8097
Ecotricity,Q2 2024,3.77,36.0,96.4,18.1,2,2024,8097
Good Energy,Q2 2024,3.22,110.0,89.1,24.7,2,2024,8097
Octopus Energy,Q2 2024,2.85,148.0,77.3,31.1,2,2024,8097
Outfox Energy,Q2 2024,3.29,113.0,99.6,33.6,2,2024,8097
Ovo Energy,Q2 2024,3.27,43.0,96.8,73.1,2,2024,8097
Rebel Energy,Q2 2024,2.68,,,,2,2024,8097
Scottish Power,Q2 2024,3.27,81.0,95.5,57.8,2,2024,8097
So Energy,Q2 2024,3.05,63.0,85.7,75.4,2,2024,8097
Utilita,Q2 2024,1.86,344.0,93.5,93.7,2,2024,8097
Utility Warehouse,Q2 2024,3.42,71.0,98.0,41.9,2,2024,8097
British Gas,Q3 2024,3.27,82.0,96.0,77.4,3,2024,8098
Co-op Energy,Q3 2024,3.42,140.0,83.6,27.6,3,2024,8098
E (Gas and Electricity),Q3 2024,3.75,27.0,100.0,36.0,3,2024,8098
E.ON Next,Q3 2024,3.07,161.0,80.2,39.3,3,2024,8098
EDF Energy,Q3 2024,2.74,280.0,84.8,36.9,3,2024,8098
Ecotricity,Q3 2024,3.55,43.0,89.0,21.4,3,2024,8098
Good Energy,Q3 2024,3.22,133.0,84.0,23.3,3,2024,8098
Octopus Energy,Q3 2024,3.2,164.0,79.9,27.6,3,2024,8098
Outfox Energy,Q3 2024,3.64,143.0,100.0,22.6,3,2024,8098
Ovo Energy,Q3 2024,3.62,80.0,96.7,54.6,3,2024,8098
Rebel Energy,Q3 2024,1.78,,,,3,2024,8098
Scottish Power,Q3 2024,3.62,88.0,98.6,47.9,3,2024,8098
So Energy,Q3 2024,2.5,180.0,74.1,66.8,3,2024,8098
Tru Energy,Q3 2024,2.81,277.0,96.5,23.4,3,2024,8098
Utilita,Q3 2024,2.74,105.0,96.0,61.6,3,2024,8098
Utility Warehouse,Q3 2024,3.77,63.0,98.7,25.9,3,2024,8098
British Gas,Q4 2024,3.27,81.0,96.79,81.3,4,2024,8099
Co-op Energy,Q4 2024,2.4,81.0,91.98,30.1,4,2024,8099
E (Gas and Electricity),Q4 2024,3.42,79.0,100.0,54.1,4,2024,8099
E.ON Next,Q4 2024,3.07,96.0,84.44,39.4,4,2024,8099
EDF Energy,Q4 2024,2.74,241.0,85.87,35.5,4,2024,8099
Ecotricity,Q4 2024,3.22,97.0,83.34,17.5,4,2024,8099
Good Energy,Q4 2024,3.57,145.0,83.13,9.7,4,2024,8099
Octopus Energy,Q4 2024,3.4,85.0,90.42,30.1,4,2024,8099
Outfox Energy,Q4 2024,3.64,126.0,100.0,20.6,4,2024,8099
Ovo Energy,Q4 2024,3.62,89.0,97.06,50.2,4,2024,8099
Rebel Energy,Q4 2024,2.35,,,,4,2024,8099
Scottish Power,Q4 2024,3.62,85.0,96.13,46.7,4,2024,8099
So Energy,Q4 2024,2.5,121.0,73.48,74.5,4,2024,8099
Tru Energy,Q4 2024,2.59,276.0,90.27,13.7,4,2024,8099
Utilita,Q4 2024,2.52,95.0,93.55,94.7,4,2024,8099
Utility Warehouse,Q4 2024,3.77,74.0,99.31,25.3,4,2024,8099
100Green,Q1 2025,3.93,17.0,92.4,7.3,1,2025,8100
British Gas,Q1 2025,2.94,149.0,97.4,72.7,1,2025,8100
Co-op Energy,Q1 2025,3.42,98.0,83.5,25.6,1,2025,8100
E (Gas and Electricity),Q1 2025,3.07,33.0,100.0,65.7,1,2025,8100
E.ON Next,Q1 2025,3.07,101.0,87.0,34.9,1,2025,8100
EDF Energy,Q1 2025,2.74,292.0,80.3,38.4,1,2025,8100
Ecotricity,Q1 2025,3.75,67.0,92.7,19.3,1,2025,8100
Good Energy,Q1 2025,3.22,140.0,81.1,19.5,1,2025,8100
Octopus Energy,Q1 2025,3.42,101.0,83.0,25.6,1,2025,8100
Outfox Energy,Q1 2025,3.64,152.0,99.5,20.0,1,2025,8100
Ovo Energy,Q1 2025,3.62,69.0,97.4,45.0,1,2025,8100
Scottish Power,Q1 2025,3.62,87.0,96.5,47.6,1,2025,8100
So Energy,Q1 2025,2.17,259.0,74.5,71.7,1,2025,8100
Tru Energy,Q1 2025,2.59,226.0,88.7,21.5,1,2025,8100
Utilita,Q1 2025,2.19,210.0,88.9,107.9,1,2025,8100
Utility Warehouse,Q1 2025,3.22,169.0,89.4,27.4,1,2025,8100
100Green,Q2 2025,4.5,17.0,95.6,3.7,2,2025,8101
British Gas,Q2 2025,2.94,140.0,95.5,68.6,2,2025,8101
Co-op Energy,Q2 2025,3.75,55.0,91.4,20.2,2,2025,8101
E (Gas and Electricity),Q2 2025,3.75,26.0,100.0,51.6,2,2025,8101
E.ON Next,Q2 2025,3.07,94.0,82.1,31.5,2,2025,8101
EDF Energy,Q2 2025,2.74,267.0,80.5,33.5,2,2025,8101
Ecotricity,Q2 2025,3.75,67.0,94.7,22.5,2,2025,8101
Good Energy,Q2 2025,3.22,122.0,83.2,19.2,2,2025,8101
Octopus Energy,Q2 2025,3.75,57.0,99.3,20.2,2,2025,8101
Outfox Energy,Q2 2025,3.64,96.0,99.3,22.5,2,2025,8101
Ovo Energy,Q2 2025,3.62,67.0,97.4,40.8,2,2025,8101
Scottish Power,Q2 2025,3.62,61.0,96.6,49.2,2,2025,8101
So Energy,Q2 2025,2.28,161.0,49.0,70.4,2,2025,8101
Tru Energy,Q2 2025,2.04,1121.0,73.7,27.5,2,2025,8101
Utilita,Q2 2025,1.97,231.0,75.3,83.0,2,2025,8101
Utility Warehouse,Q2 2025,3.55,81.0,93.8,29.8,2,2025,8101
100Green,Q3 2025,3.8,14.0,95.2,16.0,3,2025,8102
British Gas,Q3 2025,2.94,145.0,98.0,80.1,3,2025,8102
Co-op Energy,Q3 2025,3.75,74.0,88.9,24.1,3,2025,8102
E (Gas and Electricity),Q3 2025,3.75,25.0,100.0,46.8,3,2025,8102
E.ON Next,Q3 2025,3.07,101.0,90.1,31.1,3,2025,8102
EDF Energy,Q3 2025,2.19,386.0,78.2,39.4,3,2025,8102
Ecotricity,Q3 2025,4.1,54.0,92.5,11.3,3,2025,8102
Good Energy,Q3 2025,3.57,122.0,84.1,11.6,3,2025,8102
Octopus Energy,Q3 2025,3.75,87.0,87.2,24.1,3,2025,8102
Outfox Energy,Q3 2025,3.97,84.0,98.9,26.8,3,2025,8102
Ovo Energy,Q3 2025,2.74,227.0,82.8,39.9,3,2025,8102
Scottish Power,Q3 2025,3.62,87.0,98.7,49.0,3,2025,8102
So Energy,Q3 2025,1.95,282.0,53.7,64.7,3,2025,8102
Tru Energy,Q3 2025,1.91,834.0,81.7,41.0,3,2025,8102
Utilita,Q3 2025,2.41,195.0,98.1,72.5,3,2025,8102
Utility Warehouse,Q3 2025,3.2,86.0,90.0,34.2,3,2025,8102
100Green,Q4 2025,3.62,10.0,96.9,17.9,4,2025,8103
British Gas,Q4 2025,2.28,91.0,97.1,73.5,4,2025,8103
Co-op Energy,Q4 2025,3.75,75.0,91.4,21.8,4,2025,8103
E (Gas and Electricity),Q4 2025,3.22,52.0,100.0,71.3,4,2025,8103
E.ON Next,Q4 2025,3.71,116.0,90.6,29.4,4,2025,8103
EDF Energy,Q4 2025,2.6,257.0,77.9,44.6,4,2025,8103
Ecotricity,Q4 2025,3.93,46.0,93.5,13.0,4,2025,8103
Good Energy,Q4 2025,3.46,154.0,82.5,13.4,4,2025,8103
Octopus Energy,Q4 2025,3.78,72.0,90.4,21.8,4,2025,8103
Outfox Energy,Q4 2025,3.9,75.0,99.5,23.4,4,2025,8103
Ovo Energy,Q4 2025,2.76,254.0,83.6,42.6,4,2025,8103
Scottish Power,Q4 2025,3.11,80.0,98.7,52.4,4,2025,8103
So Energy,Q4 2025,2.7,90.0,86.8,64.2,4,2025,8103
Tru Energy,Q4 2025,1.9,285.0,86.7,46.7,4,2025,8103
Utilita,Q4 2025,2.24,119.0,97.3,130.6,4,2025,8103
Utility Warehouse,Q4 2025,2.66,176.0,69.7,34.4,4,2025,8103
100Green,Q1 2026,4.33,7.0,90.86,14.4,1,2026,8104
British Gas,Q1 2026,2.61,51.0,97.94,68.7,1,2026,8104
Co-op Energy,Q1 2026,3.63,74.0,87.05,21.3,1,2026,8104
E (Gas and Electricity),Q1 2026,3.22,60.0,100.0,70.6,1,2026,8104
E.ON Next,Q1 2026,3.71,123.0,90.69,29.8,1,2026,8104
EDF Energy,Q1 2026,2.9,166.0,85.56,47.6,1,2026,8104
Ecotricity,Q1 2026,3.36,45.0,95.2,21.5,1,2026,8104
Good Energy,Q1 2026,3.49,122.0,79.3,10.9,1,2026,8104
Octopus Energy,Q1 2026,3.67,77.0,86.12,21.3,1,2026,8104
Outfox Energy,Q1 2026,4.25,77.0,100.0,16.3,1,2026,8104
Ovo Energy,Q1 2026,3.3,93.0,98.5,39.5,1,2026,8104
Scottish Power,Q1 2026,2.94,76.0,94.3,61.8,1,2026,8104
So Energy,Q1 2026,2.86,66.0,91.25,57.1,1,2026,8104
Tru Energy,Q1 2026,1.38,276.0,74.3,62.4,1,2026,8104
Utilita,Q1 2026,2.35,60.0,98.19,164.0,1,2026,8104
Utility Warehouse,Q1 2026,2.45,436.0,40.54,38.1,1,2026,8104
