brand,False,True
British_Gas,2.641732283464567,1.6842105263157894
EE_Telecom,1.5669291338582678,1.2209302325581395
O2_Telecom,1.279527559055118,1.3793103448275863
Octopus_Energy,3.1811023622047245,2.3846153846153846
Vodafone,2.4235294117647057,1.7510729613733906
